Paper	Year	Journal	Taxon	Ntips	General use	package	Noptima
Boettinger et al 2012 Evolution  	2012	Evolution	reptiles	23	ancestral state reconstruction	ouch	multiple
Edwards & Donoghue 2006 Am Nat    	2006	Am Nat	plants	12	ancestral state reconstruction	COMPARE	single
Guerrero et al 2013 PNAS            	2013	PNAS	plants/reptiles	49	ancestral state reconstruction	geiger/COMPARE	single
Kozak & Wiens 2010 Am Nat      	2010	Am Nat	amphibians	84	ancestral state reconstruction	ouch	multiple
Lambert & Wiens 2013 Evolution      	2013	Evolution	reptiles	117	ancestral state reconstruction	geiger	single
Mirceta et al 2013 Science          	2013	Science	mammals	130	ancestral state reconstruction	MATLAB	single
Ord 2012 JEB                     	2012	JEB	reptiles	32	ancestral state reconstruction	SLOUCH	single
Perez I De Lanuza et al 2013 JEB    	2013	JEB	reptiles	42	ancestral state reconstruction	geiger	single
Quintero & Wiens 2013 ELE           	2013	ELE	multiple	500	ancestral state reconstruction	geiger/COMPARE	single
Wiens et al 2013 Evolution	2013	Evolution	reptiles	117	ancestral state reconstruction	geiger	single
Mahler et al 2013 Science           	2013	Science	reptiles	100	convergent evolution	SURFACE	multiple
Moen et al 2013 PRSB	2013	PRSB	amphibians	44	convergent evolution	geiger	multiple
Adams et al 2009 PRSB           	2009	PRSB	amphibians	10	model of evolution	ouch	single
Agrawal et al 2009 PNAS         	2009	PNAS	plants	53	model of evolution	geiger	single
Angielcyzk et al 2011 Evolution    	2011	Evolution	reptiles	8	model of evolution	ouch	multiple
Arbour & Lopez-Fernandez 2013 PRSB 	2013	PRSB	fish	27	model of evolution	ouch	multiple
Beaulieu et al 2012 Evolution   	2012	Evolution	plants	590	model of evolution	OUwie	multiple
Benesh et al 2011 Evolution        	2011	Evolution	helminths	310	model of evolution	ouch	multiple
Bergmann et al 2009 Evolution   	2009	Evolution	reptiles	38	model of evolution	ouch	multiple
Betancur-R et al 2012 ELE        	2012	ELE	fish	123	model of evolution	geiger	single
Blackburn et al 2013 Evolution      	2013	Evolution	amphibians	18	model of evolution	geiger	single
Burbrink & Pyron 2010 Evolution	2010	Evolution	reptiles	29	model of evolution	geiger	single
Burbrink et al 2012 PRSB         	2012	PRSB	multiple	41	model of evolution	Custom R code	single
Christin et al 2013 PNAS	2013	PNAS	plants	545	model of evolution	geiger/ouch	multiple
Claramunt et al 2012 Am Nat     	2012	Am Nat	birds	290	model of evolution	geiger	single
Claramunt et al 2012 PRSB        	2012	PRSB	birds	282	model of evolution	geiger	single
Collar et al 2009 Evolution     	2009	Evolution	fish	29	model of evolution	ouch	multiple
Collar et al 2011 Evolution        	2011	Evolution	reptiles	37	model of evolution	Brownie	multiple
Cooper & Purvis 2010 AmNat     	2010	AmNat	mammals	3000	model of evolution	geiger	single
Derryberry et al 2011 Evolution    	2011	Evolution	birds	285	model of evolution	geiger	single
Dumont & Payseur 2008 Evolution	2008	Evolution	mammals	13	model of evolution	ouch	multiple
Edwards & Smith 2010 PNAS      	2010	PNAS	plants	300	model of evolution	ouch	multiple
Frederich et al 2013 Am Nat	2013	Am Nat	fish	208	model of evolution	OUwie	multiple
Friedman et al 2013 Evolution	2013	Evolution	birds	15	model of evolution	ouch	single
Fusco et al 2012 Evolution       	2012	Evolution	trilobites	60	model of evolution	?	single
Gomez & Thery 2007 Am Nat   	2007	Am Nat	birds	40	model of evolution	ouch	multiple
Gonzalez-Voyer & Kolm 2011 JEB     	2011	JEB	fish	49	model of evolution	geiger	single
Harmon et al 2010 Evolution    	2010	Evolution	multiple	17	model of evolution	geiger	single
Hertz et al 2013 Evolution          	2013	Evolution	reptiles	100	model of evolution	geiger	single
Hipp 2007 Evolution         	2007	Evolution	plants	53	model of evolution	BayesTraits	multiple
Ingram et al 2012 JEB            	2012	JEB	food web simulations	20	model of evolution	geiger	single
Kalinka et al 2010 Nature      	2010	Nature	insects	6	model of evolution	ouch	multiple
Knope & Scales 2013 JEB             	2013	JEB	fish	26	model of evolution	ouch	multiple
Kostikova et al 2013 AmNat	2013	Am Nat	plants	68	model of evolution	OUwie	multiple
Kozak & Wiens 2010 Am Nat      	2010	Am Nat	amphibians	84	model of evolution	geiger	multiple
Kozak & Wiens 2010 ELE         	2010	ELE	amphibians	11	model of evolution	ouch	single
Kozak et al 2009 Evolution      	2009	Evolution	amphibians	184	model of evolution	geiger	single
Lapiedra et al 2013 PRSB            	2013	PRSB	birds	154	model of evolution	OUwie	multiple
Litsios et al 2013 Evolution	2013	Evolution	plants	382	model of evolution	OUwie	multiple
Lopez-Fernandez et al 2013 Evolution	2013	Evolution	fish	135	model of evolution	geiger	single
Machac et al 2013 Evolution         	2013	Evolution	mammals	231	model of evolution	geiger	single
Maia et al 2013 PNAS                	2013	PNAS	birds	47	model of evolution	OUwie	multiple
Pellisier et al 2012 JEB         	2012	JEB	insects	83	model of evolution	? (APE)	multiple
Pienaar et al 2013 ELE              	2013	ELE	birds	382	model of evolution	SLOUCH	multiple
Price et al 2010 Evolution     	2010	Evolution	fish	122	model of evolution	geiger	single
Price et al 2012 Evolution       	2012	Evolution	fish	50	model of evolution	geiger	single
Raia & Meiri 2011 Evolution        	2011	Evolution	mammals	4004	model of evolution	MOTMOT	multiple
Rezende et al 2009 ELE          	2009	ELE	fish	116	model of evolution	PDTREE	single
Sallan & Freidman 2012 PRSB      	2012	PRSB	fish	100	model of evolution	geiger	single
Santana et al 2012 Evolution     	2012	Evolution	mammals	85	model of evolution	ouch	multiple
Seddon et al 2013 PRSB              	2013	PRSB	birds	153	model of evolution	? (geiger)	single
Setiadi et al 2011 Am Nat          	2011	Am Nat	amphibians	22	model of evolution	ouch	multiple
Slater et al 2010 PRSB         	2010	PRSB	mammals	84	model of evolution	ouch	multiple
Smith et al 2011 Evolution         	2011	Evolution	reptiles	15	model of evolution	geiger	single
Sookias et al 2012 PRSB          	2012	PRSB	multiple	43	model of evolution	geiger	single
Stireman et al 2012 JEB          	2012	JEB	insects	24	model of evolution	geiger	single
Valiente-Banuet et al 2006 PNAS   	2006	PNAS	plants	47	model of evolution	? (ouch)	multiple
Weins et al 2011 ELE               	2011	ELE	amphibians	337	model of evolution	geiger	single
Weir & Wheatcroft 2011 PRSB  	2011	PRSB	birds	232	model of evolution	geiger	single
Weir et al 2012 Evolution	2012	Evolution	birds	232	model of evolution	geiger	single
Buskirk 2009 JEB                	2009	JEB	amphibians	82	phylogenetic inertia	SLOUCH	multiple
Diniz Filho et al 2012 Evolution 	2012	Evolution	mammals	209	other	PAM	?
Hansen & Orzack 2005 Evolution	2005	Evolution	insects	15	phylogenetic inertia	ouch precursor?	single
Hansen et al 2008 Evolution    	2008	Evolution	mammals	105	phylogenetic inertia	SLOUCH	multiple
Labra et al 2009 Am Nat         	2009	Am Nat	reptiles	83	phylogenetic inertia	SLOUCH	multiple
Ord et al 2010 Evolution       	2010	Evolution	reptiles	16	phylogenetic inertia	SLOUCH	multiple
Voje et al 2013 JEB	2013	JEB	fish	87	phylogenetic inertia	SLOUCH	multiple
Addison et al 2009 PRSB         	2009	PRSB	birds	23	phylogenetic correction	MATLAB	single
Benesh et al 2013 Am Nat	2013	Am Nat	helminths	143	phylogenetic correction	APE	single
Blankers et al 2012 JEB          	2012	JEB	amphibians	189	phylogenetic correction	geiger	single
Buchwalter et al 2008 PNAS     	2008	PNAS	insects	21	phylogenetic correction	MATLAB	single
Calosi et al 2012 JEB            	2012	JEB	insects	25	phylogenetic correction	MATLAB	single
Clabaut et al 2007 Evolution	2007	Evolution	fish	45	phylogenetic correction	APE	single
Davis et al 2012 JEB             	2012	JEB	insects	53	phylogenetic correction	SLOUCH	single
Glavan & Moller 2011 JEB           	2011	JEB	birds	323	phylogenetic correction	COMPARE	single
Gomez-Mestre et al 2013 Evolution	2013	Evolution	amphibians	720	phylogenetic correction	APE	single
Gonzalez-Voyer et al 2009 PRSB  	2009	PRSB	fish	39	phylogenetic correction	APE/COMPARE	single
Goodman et al 2009 Evolution    	2009	Evolution	reptiles	20	phylogenetic correction	COMPARE	single
Gvozdik & Van Damme 2006 Evolution	2006	Evolution	amphibians	10	phylogenetic correction	COMPARE	single
Halsey et al 2006 Am Nat          	2006	Am Nat	birds/mammals	90	phylogenetic correction	Custom R code	single
Helmus et al 2010 ELE          	2010	ELE	zooplankton	15	phylogenetic correction	?	?
Hossie et al 2013 JEB               	2013	JEB	amphibians/reptiles	104	phylogenetic correction	geiger	single
Huey et al 2009 PRSB            	2009	PRSB	reptiles	70	phylogenetic correction	MATLAB	single
Kellerman et al 2012 Evolution   	2012	Evolution	insects	94	phylogenetic correction	SLOUCH	single
Kellerman et al 2012 PNAS        	2012	PNAS	insects	94	phylogenetic correction	SLOUCH	single
Mirceta et al 2013 Science          	2013	Science	mammals	130	phylogenetic correction	Mesquite	single
Oufiero et al 2011 Evolution       	2011	Evolution	reptiles	106	phylogenetic correction	SLOUCH	single
Pearse & Hipp 2012 Evolution     	2012	Evolution	plants	56	phylogenetic correction	SLOUCH	?
Perez et al 2011 JEB               	2011	JEB	mammals	29	phylogenetic correction	APE	single
Rosas-Guerrero et al 2011 Evolution	2011	Evolution	plants	20	phylogenetic correction	APE	single
Ryan & Shaw 2013 PRSB               	2013	PRSB	mammals	34	phylogenetic correction	MATLAB	single
Schmerler et al 2012 PRSB        	2012	PRSB	plants	88	phylogenetic correction	nlme	single
Smith 2012 Evolution             	2012	Evolution	birds	42	phylogenetic correction	APE/nlme	single
Smith et al 2008 Evolution     	2008	Evolution	plants	15	phylogenetic correction	APE	single
Spoor et al 2007 PNAS       	2007	PNAS	mammals	210	phylogenetic correction	PDAP	single
Stuart-Fox et al 2007 Am Nat	2007	Am Nat	reptiles	21	phylogenetic correction	COMPARE	single
Swanson & Garland 2009 Evolution	2009	Evolution	birds	44	phylogenetic correction	MATLAB	single
Tanabe et al 2013 Evolution	2013	Evolution	millipedes	84	phylogenetic correction	APE	single
Tulli et al 2011 JEB               	2011	JEB	reptiles	29	phylogenetic correction	?	single
Turbill et al 2011 PRSB            	2011	PRSB	mammals	19	phylogenetic correction	geiger	single
Valido et al 2011 JEB              	2011	JEB	plants	111	phylogenetic correction	APE	single
Voje & Hansen 2012 Evolution     	2012	Evolution	insects	30	phylogenetic correction	SLOUCH	single
Warne & Charnov 2008 Am Nat 	2008	Am Nat	reptiles	71	phylogenetic correction	MATLAB	single
Weins et al 2011 ELE               	2011	ELE	amphibians	337	phylogenetic correction	COMPARE	single
Ives & Godfray 2006 Am Nat        	2006	Am Nat	insects	8	phylogenetic signal	MATLAB	single
Nogueira et al 2012 JEB          	2012	JEB	plants	105	phylogenetic signal	geiger	single
Ord et al 2011 Evolution           	2011	Evolution	multiple	23	phylogenetic signal	SLOUCH	single
Rezende et al 2007 Nature   	2007	Nature	plants/insects	NA	phylogenetic signal	? (ouch)	single
